Date,price
1994-08-24,469.03
1994-08-25,468.08
1994-08-26,473.80
1994-08-29,474.59
1994-08-30,476.07
1994-08-31,475.49
1994-09-01,473.17
1994-09-02,470.99
1994-09-06,471.86
1994-09-07,470.99
1994-09-08,473.14
1994-09-09,468.18
1994-09-12,466.21
1994-09-13,467.51
1994-09-14,468.80
1994-09-15,474.81
1994-09-16,471.19
1994-09-19,470.85
1994-09-20,463.36
1994-09-21,461.46
1994-09-22,461.27
1994-09-23,459.67
1994-09-26,460.82
1994-09-27,462.05
1994-09-28,464.84
1994-09-29,462.24
1994-09-30,462.71
1994-10-03,461.74
1994-10-04,454.59
1994-10-05,453.52
1994-10-06,452.36
1994-10-07,455.10
1994-10-10,459.04
1994-10-11,465.79
1994-10-12,465.47
1994-10-13,467.79
1994-10-14,469.10
1994-10-17,468.96
1994-10-18,467.66
1994-10-19,470.28
1994-10-20,466.85
1994-10-21,464.89
1994-10-24,460.83
1994-10-25,461.53
1994-10-26,462.62
1994-10-27,465.85
1994-10-28,473.77
1994-10-31,472.35
1994-11-01,468.42
1994-11-02,466.51
1994-11-03,467.91
1994-11-04,462.28
1994-11-07,463.07
1994-11-08,465.65
1994-11-09,465.40
1994-11-10,464.37
1994-11-11,462.35
1994-11-14,466.04
1994-11-15,465.03
1994-11-16,465.62
1994-11-17,463.57
1994-11-18,461.47
1994-11-21,458.30
1994-11-22,450.09
1994-11-23,449.93
1994-11-25,452.29
1994-11-28,454.16
1994-11-29,455.17
1994-11-30,453.69
1994-12-01,448.92
1994-12-02,453.30
1994-12-05,453.32
1994-12-06,453.11
1994-12-07,451.23
1994-12-08,445.45
1994-12-09,446.96
1994-12-12,449.47
1994-12-13,450.15
1994-12-14,454.97
1994-12-15,455.34
1994-12-16,458.80
1994-12-19,457.91
1994-12-20,457.10
1994-12-21,459.61
1994-12-22,459.68
1994-12-23,459.83
1994-12-27,462.47
1994-12-28,460.86
1994-12-29,461.17
1994-12-30,459.27
1995-01-03,459.11
1995-01-04,460.71
1995-01-05,460.34
1995-01-06,460.68
1995-01-09,460.83
1995-01-10,461.68
1995-01-11,461.66
1995-01-12,461.64
1995-01-13,465.97
1995-01-16,469.38
1995-01-17,470.05
1995-01-18,469.71
1995-01-19,466.95
1995-01-20,464.78
1995-01-23,465.82
1995-01-24,465.86
1995-01-25,467.44
1995-01-26,468.32
1995-01-27,470.39
1995-01-30,468.51
1995-01-31,470.42
1995-02-01,470.40
1995-02-02,472.79
1995-02-03,478.65
1995-02-06,481.14
1995-02-07,480.81
1995-02-08,481.19
1995-02-09,480.19
1995-02-10,481.46
1995-02-13,481.65
1995-02-14,482.55
1995-02-15,484.54
1995-02-16,485.22
1995-02-17,481.97
1995-02-21,482.72
1995-02-22,485.07
1995-02-23,486.91
1995-02-24,488.11
1995-02-27,483.81
1995-02-28,487.39
1995-03-01,485.65
1995-03-02,485.13
1995-03-03,485.42
1995-03-06,485.63
1995-03-07,482.12
1995-03-08,483.14
1995-03-09,483.16
1995-03-10,489.57
1995-03-13,490.05
1995-03-14,492.89
1995-03-15,491.88
1995-03-16,495.41
1995-03-17,495.52
1995-03-20,496.14
1995-03-21,495.07
1995-03-22,495.67
1995-03-23,495.95
1995-03-24,500.97
1995-03-27,503.20
1995-03-28,503.90
1995-03-29,503.12
1995-03-30,502.22
1995-03-31,500.71
1995-04-03,501.85
1995-04-04,505.24
1995-04-05,505.57
1995-04-06,506.08
1995-04-07,506.42
1995-04-10,507.01
1995-04-11,505.53
1995-04-12,507.17
1995-04-13,509.23
1995-04-17,506.13
1995-04-18,505.37
1995-04-19,504.92
1995-04-20,505.29
1995-04-21,508.49
1995-04-24,512.89
1995-04-25,512.10
1995-04-26,512.66
1995-04-27,513.55
1995-04-28,514.71
1995-05-01,514.26
1995-05-02,514.86
1995-05-03,520.48
1995-05-04,520.54
1995-05-05,520.12
1995-05-08,523.96
1995-05-09,523.56
1995-05-10,524.36
1995-05-11,524.37
1995-05-12,525.55
1995-05-15,527.74
1995-05-16,528.19
1995-05-17,527.07
1995-05-18,519.58
1995-05-19,519.19
1995-05-22,523.65
1995-05-23,528.59
1995-05-24,528.61
1995-05-25,528.59
1995-05-26,523.65
1995-05-30,523.58
1995-05-31,533.40
1995-06-01,533.49
1995-06-02,532.51
1995-06-05,535.60
1995-06-06,535.55
1995-06-07,533.13
1995-06-08,532.35
1995-06-09,527.94
1995-06-12,530.88
1995-06-13,536.05
1995-06-14,536.47
1995-06-15,537.12
1995-06-16,539.83
1995-06-19,545.22
1995-06-20,544.98
1995-06-21,543.98
1995-06-22,551.07
